Mês/Ano	N.º empresas	Valor de mercado em R$	Valor de mercado em US$
02/2015	64	1.897.789.378.219,85	659.366.749.433,65
03/2015	64	1.924.067.884.212,97	599.771.784.355,68
04/2015	64	2.066.169.595.947,61	690.195.615.963,25
05/2015	62	1.949.062.507.141,89	613.144.113.232,05
06/2015	62	1.973.590.995.703,66	636.108.746.117,32
07/2015	62	1.903.496.153.604,43	560.841.530.231,14
08/2015	62	1.754.226.565.936,40	481.044.935.403,61
09/2015	61	1.700.334.994.748,24	427.983.335.787,02
10/2015	60	1.678.886.449.064,91	435.068.659.220,21
11/2015	60	1.658.564.078.124,12	430.728.737.891,32
12/2015	60	1.591.222.118.061,16	407.504.127.755,87
01/2016	58	1.506.704.558.003,34	372.688.373.900,11
02/2016	58	1.560.784.247.649,59	392.196.262.852,92
03/2016	58	1.795.296.276.762,00	504.452.577.133,96
04/2016	58	1.917.723.005.640,22	555.732.875.171,04
05/2016	56	1.740.044.510.268,63	484.004.481.173,99
06/2016	56	1.821.192.386.744,97	567.385.004.282,21
07/2016	56	2.004.422.501.753,52	618.839.920.269,68
08/2016	56	2.029.117.295.647,38	626.212.787.596,03
09/2016	55	2.044.579.568.749,60	629.837.831.541,39
10/2016	55	2.234.166.057.965,58	702.325.000.146,33
11/2016	55	2.134.703.924.696,95	628.464.075.336,89
12/2016	55	2.078.361.495.216,37	637.710.255.965,24
01/2017	56	2.239.111.508.335,56	716.057.405.927,56
02/2017	56	2.324.810.975.481,76	750.108.403.665,96
03/2017	55	2.245.685.529.752,16	708.775.889.960,94
04/2017	55	2.243.196.789.502,58	701.349.671.555,37
05/2017	55	2.159.216.186.103,92	665.664.576.287,48
06/2017	55	2.149.502.017.103,84	649.749.718.004,90
07/2017	55	2.249.025.436.687,90	718.377.818.598,90
08/2017	55	2.400.514.890.395,68	762.770.452.288,00
09/2017	56	2.517.247.304.625,62	794.585.639.086,35
10/2017	56	2.538.691.131.213,24	774.723.406.638,38
11/2017	56	2.445.003.904.184,47	749.633.279.428,61
12/2017	56	2.575.883.889.287,88	778.683.158.793,21
01/2018	61	2.916.246.884.448,57	922.162.561.487,63
02/2018	61	2.928.154.497.757,42	902.386.667.619,11
03/2018	61	2.965.390.191.585,30	892.168.659.842,77
04/2018	61	2.961.894.507.906,04	850.850.164.576,10
05/2018	64	2.663.411.238.753,77	712.713.737.959,26
06/2018	64	2.510.860.305.805,10	651.190.493.751,00
07/2018	64	2.733.333.320.795,62	727.937.713.599,75
08/2018	64	2.639.313.053.286,83	638.239.802.018,43
09/2018	62	2.671.197.780.792,61	667.148.974.947,58
10/2018	62	2.916.773.138.709,43	784.563.880.546,93
11/2018	62	2.977.960.365.839,48	770.833.320.176,96
12/2018	63	2.894.364.336.823,38	735.917.705.777,64
01/2019	62	3.218.298.368.773,45	866.275.031.297,55
02/2019	62	3.136.721.592.369,83	844.316.866.940,28
03/2019	62	3.114.470.041.703,32	838.327.377.918,02
04/2019	62	3.133.829.775.385,78	843.538.471.477,41
05/2019	63	3.179.552.759.110,79	855.845.807.410,52
06/2019	63	3.288.350.921.992,46	865.492.162.444,69
07/2019	63	3.320.647.558.334,41	873.992.619.448,96
08/2019	63	3.278.965.973.165,64	863.022.049.051,25
09/2019	65	3.471.796.894.439,15	913.775.041.964,33
10/2019	65	3.522.717.987.023,13	927.177.445.655,36
11/2019	65	3.566.642.796.694,90	938.738.431.514,15
12/2019	65	3.827.102.474.651,63	1.007.291.276.162,41
01/2020	70	3.888.224.964.389,15	1.023.378.681.999,64
02/2020	70	3.547.959.819.002,30	933.821.082.013,51
03/2020	70	2.547.446.910.702,95	670.486.632.284,85
04/2020	70	2.774.385.762.554,17	730.216.813.853,30
05/2020	72	3.050.053.589.053,38	802.772.434.872,22
06/2020	72	3.327.845.978.376,27	875.887.239.663,22
07/2020	72	3.637.123.890.736,13	957.289.016.880,59
08/2020	72	3.487.676.160.534,97	917.954.456.107,54
09/2020	74	3.324.014.924.339,96	874.878.908.338,15
10/2020	74	3.331.655.290.492,47	876.889.848.526,76
11/2020	74	3.818.516.129.979,89	1.005.031.354.945,46
12/2020	74	4.158.361.108.108,46	1.094.478.367.139,15
